metro_area,community_name,builder,phase,street_name,full_address,bedrooms,sqft,list_price,price,status_bucket,status_raw,input_date,closed_date,last_checked_date,status_changed
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,794 Gussy Lane,3,1355,211900,211900,sold,SLD,4/7/2026 4:14 PM,5/29/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Hollywood Ave,6681 Hollywood Avenue,3,1422,213900,211900,sold,SLD,4/8/2026 11:33 AM,5/28/2026,2026-08-03,
"Little Rock, AR",Panther Cove,Lennar,,Gussy Lane,767 Gussy Lane,3,1633,214450,212000,sold,SLD,3/5/2026 11:59 AM,4/29/2026,2026-08-03,
"Little Rock, AR",Midland Estates,Lennar,Phase 1,Ted Craig Drive,3116 Ted Craig Drive,3,1355,212000,212000,sold,SLD,1/21/2026 11:17 AM,5/11/2026,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1527 Meadows Drive,3,1355,212000,212000,sold,SBL,7/25/2025 9:04 AM,7/23/2025,2026-08-03,
"Little Rock, AR",Deerfield,Lennar,,Ten Point Lane,19 Ten Point Lane,4,1613,213150,212000,sold,SLD,2/26/2025 3:23 PM,7/3/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Croft Ave,6016 Croft Avenue,4,1496,212675,212675,sold,SLD,2/25/2025 1:16 PM,5/30/2025,2026-08-03,
"Little Rock, AR",The Grove At Centennial Valley,Lennar,,Meadows Drive,1463 Meadows Drive,4,1470,212885,212885,sold,SLD,7/2/2025 11:50 AM,8/14/2025,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,55 Maddison Rachael,4,1459,212900,212900,sold,SLD,4/29/2026 1:28 PM,7/24/2026,2026-08-03,
"Little Rock, AR",Stagecoach Meadows,Lennar,,Maddison Rachael,45 Maddison Rachael,4,1496,216100,213000,sold,SLD,3/18/2026 1:04 PM,5/27/2026,2026-08-03,
