listingAddress/full,listingAddress/street,listingAddress/city,listingAddress/state,homeStatus,listingStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice,listingPriceHistory/0/date,listingPriceHistory/0/event,listingPriceHistory/1/date,listingPriceHistory/1/event,listingPriceHistory/2/date,listingPriceHistory/2/event,listingPriceHistory/3/date,listingPriceHistory/3/event,listingPriceHistory/4/date,listingPriceHistory/4/event,listingPriceHistory/5/date,listingPriceHistory/5/event
"4409 Olympic Dr, Benton, AR 72019",4409 Olympic Dr,Benton,AR,,forRent,4,1566,,1600,2,https://www.zillow.com/homedetails/4409-Olympic-Dr-Benton-AR-72019/446361230_zpid/,,182600,2026-09-21T00:00:00.000Z,Listed for rent,2024-07-09T00:00:00.000Z,Listing removed,2024-06-13T00:00:00.000Z,Listed for rent,2021-04-21T00:00:00.000Z,Sold,,,,
"3 Honeysuckle Ln, Conway, AR 72034",3 Honeysuckle Ln,Conway,AR,,forRent,4,1717,,1600,30,https://www.zillow.com/homedetails/3-Honeysuckle-Ln-Conway-AR-72034/234793_zpid/,,115000,2026-08-24T00:00:00.000Z,Listed for rent,2025-08-22T00:00:00.000Z,Listing removed,2025-07-25T00:00:00.000Z,Listed for sale,2025-04-15T00:00:00.000Z,Listing removed,2025-01-16T00:00:00.000Z,Pending sale,2025-01-13T00:00:00.000Z,Price change
"225 Shiloh Dr, Conway, AR 72032",225 Shiloh Dr,Conway,AR,,forRent,3,1228,,1450,14,https://www.zillow.com/homedetails/225-Shiloh-Dr-Conway-AR-72032/82281664_zpid/,,125000,2026-09-09T00:00:00.000Z,Listed for rent,2026-08-22T00:00:00.000Z,Listing removed,2026-08-07T00:00:00.000Z,Listed for rent,2026-02-26T00:00:00.000Z,Listing removed,2026-02-19T00:00:00.000Z,Price change,2026-02-13T00:00:00.000Z,Listed for rent
"1512 College Ave, Conway, AR 72034",1512 College Ave,Conway,AR,,forRent,4,1612,,1600,57,https://www.zillow.com/homedetails/1512-College-Ave-Conway-AR-72034/237453_zpid/,,119000,2026-09-15T00:00:00.000Z,Price change,2026-09-10T00:00:00.000Z,Price change,2026-08-03T00:00:00.000Z,Price change,2026-07-28T00:00:00.000Z,Listed for rent,2022-07-25T00:00:00.000Z,Listing removed,2022-07-18T00:00:00.000Z,Listed for rent
"2128 Duncan St, Conway, AR 72034",2128 Duncan St,Conway,AR,,forRent,4,1450,,1495,11,https://www.zillow.com/homedetails/2128-Duncan-St-Conway-AR-72034/236832_zpid/,,80000,2026-09-12T00:00:00.000Z,Listed for rent,2025-09-05T00:00:00.000Z,Listing removed,2025-08-14T00:00:00.000Z,Listed for rent,2015-10-02T00:00:00.000Z,Sold,2014-06-30T00:00:00.000Z,Sold,,
"20 Summer Breeze Rd, Conway, AR 72032",20 Summer Breeze Rd,Conway,AR,,forRent,3,1592,,1600,18,https://www.zillow.com/homedetails/20-Summer-Breeze-Rd-Conway-AR-72032/2076495598_zpid/,,207000,2026-09-05T00:00:00.000Z,Listed for rent,2024-04-17T00:00:00.000Z,Listing removed,2024-03-28T00:00:00.000Z,Listed for rent,2024-03-08T00:00:00.000Z,Sold,2024-02-22T00:00:00.000Z,Contingent,2024-02-21T00:00:00.000Z,Price change
"2530 Peabody Dr, Conway, AR 72032",2530 Peabody Dr,Conway,AR,,forRent,3,1271,,1500,39,https://www.zillow.com/homedetails/2530-Peabody-Dr-Conway-AR-72032/239829_zpid/,,199000,2026-08-15T00:00:00.000Z,Listed for rent,2025-07-28T00:00:00.000Z,Sold,2025-06-29T00:00:00.000Z,Contingent,2025-06-28T00:00:00.000Z,Listed for sale,2014-12-23T00:00:00.000Z,Sold,2013-09-19T00:00:00.000Z,Sold
"3369 Garden Club Dr, Benton, AR 72022",3369 Garden Club Dr,Benton,AR,,forRent,3,1305,,1700,10,https://www.zillow.com/homedetails/3369-Garden-Club-Dr-Benton-AR-72022/118174164_zpid/,,172500,2026-09-14T00:00:00.000Z,Listed for rent,2025-06-21T00:00:00.000Z,Listing removed,2025-05-20T00:00:00.000Z,Listed for rent,2025-02-04T00:00:00.000Z,Listing removed,2025-01-07T00:00:00.000Z,Listed for rent,2024-09-03T00:00:00.000Z,Listing removed
"2013 Creekwood Dr, Conway, AR 72032",2013 Creekwood Dr,Conway,AR,,forRent,5,2608,,2950,59,https://www.zillow.com/homedetails/2013-Creekwood-Dr-Conway-AR-72032/235364_zpid/,,289000,2026-09-11T00:00:00.000Z,Price change,2026-08-24T00:00:00.000Z,Price change,2026-07-29T00:00:00.000Z,Price change,2026-07-27T00:00:00.000Z,Listed for rent,2026-07-06T00:00:00.000Z,Sold,2026-04-16T00:00:00.000Z,Price change
"294 Stone Mountain Rd, Conway, AR 72032",294 Stone Mountain Rd,Conway,AR,,forRent,3,1216,,1650,10,https://www.zillow.com/homedetails/294-Stone-Mountain-Rd-Conway-AR-72032/122006123_zpid/,,42300,2026-09-13T00:00:00.000Z,Listed for rent,2025-04-17T00:00:00.000Z,Sold,2025-03-26T00:00:00.000Z,Contingent,2025-03-22T00:00:00.000Z,Listed for sale,,,,
