"Picture Count","Status","List Price","Price","Subdivision","Address","Apx SQFT","Beds","Full Baths","Apx ACR","Input Date","Price Date","Price Per SQFT","Closed Date"
"11","SLD","$272,500","$268,000","KENSINGTON PLACE","6333 Warwick Drive","1884","4","2","0.20","1/12/2026 4:24 PM","6/3/2026","$142.25","6/2/2026"
"14","SLD","$269,000","$269,000","KENSINGTON PLACE","4344 Sloan Drive","1796","4","2","0.21","1/22/2025 2:46 PM","1/22/2025","$149.78","3/19/2025"
"25","SBL","$269,000","$269,000","WOLFSBRIDGE @ CABOT PH 1-A","41 Wolfsbridge Loop","1884","4","2","0.22","7/15/2026 11:39 AM","7/15/2026","$142.78","7/15/2026"
"14","ACT","$269,500","$269,500","CHERRY ADDITION TO CITY OF BEEBE","504 S Cherry Street","2113","4","3","0.18","6/16/2026 11:01 AM","6/16/2026","$127.54",
"14","ACT","$269,500","$269,500","CHERRY ADDITION TO CITY OF BEEBE","510 S Cherry Street","2113","4","3","0.18","7/10/2026 2:33 PM","7/10/2026","$127.54",
"23","SLD","$269,000","$270,000","KENSINGTON PLACE","6433 Newark Drive","1796","4","2","0.20","8/31/2024 12:05 AM","3/6/2025","$150.33","3/4/2025"
"16","SLD","$264,500","$270,000","VINEYARD SUB PH II","112 E Fredonia Court","1897","4","2","0.15","2/26/2025 9:08 AM","8/14/2025","$142.33","8/12/2025"
"23","SLD","$273,000","$270,000","KENSINGTON PLACE","4348 Sloan Drive","1824","4","2","0.21","1/10/2025 6:30 PM","5/14/2025","$148.03","5/9/2025"
"2","NEW","$270,300","$270,300","CRESCENT GROVE PHASE 1","416 Chakka Loop","1718","4","2","0.13","7/30/2026 2:56 PM","7/30/2026","$157.33",
"11","SLD","$275,500","$270,500","KENSINGTON PLACE","6324 Warwick Drive","1884","4","2","0.20","2/15/2026 5:12 PM","6/24/2026","$143.58","6/23/2026"
"15","SLD","$269,000","$270,780","KENSINGTON PLACE","6413 Newark Drive","1796","4","2","0.20","12/12/2024 11:22 AM","3/31/2025","$150.77","3/28/2025"
"23","UCT","$271,000","$271,000","STONE CANYON ADDITION SUBDIVISON","220 Stone Canyon Drive","1867","5","2","0.12","7/9/2026 10:10 AM","7/15/2026","$145.15","8/31/2026"
"23","UCT","$271,000","$271,000","STONE CANYON ADDITION SUBDIVISON","235 Stone Canyon Drive","1867","5","2","0.12","2/15/2026 7:49 PM","7/30/2026","$145.15","9/18/2026"
