listingAddress/full,listingAddress/street,listingStatus,homeStatus,bedrooms,livingArea,price,listingPrice/amount,daysOnZillow,propertyUrl,hdpUrl,lastSoldPrice
"32 Thunderbird Dr, Cabot, AR 72023",32 Thunderbird Dr,forRent,,3,1444,,1475,5,https://www.zillow.com/homedetails/32-Thunderbird-Dr-Cabot-AR-72023/67447424_zpid/,,
"32 Fortson Dr, Cabot, AR 72023",32 Fortson Dr,forRent,,3,1064,,875,17,https://www.zillow.com/homedetails/32-Fortson-Dr-Cabot-AR-72023/63161011_zpid/,,750000
"1045 E Main St, Austin, AR 72007",1045 E Main St,forRent,,3,1266,,1375,3,https://www.zillow.com/homedetails/1045-E-Main-St-Austin-AR-72007/99406768_zpid/,,70000
"54 Magnolia Dr, Cabot, AR 72023",54 Magnolia Dr,forRent,,3,1394,,1400,53,https://www.zillow.com/homedetails/54-Magnolia-Dr-Cabot-AR-72023/60314948_zpid/,,117000
"203 Lynn Ln, Lonoke, AR 72086",203 Lynn Ln,forRent,,3,1200,,1195,85,https://www.zillow.com/homedetails/203-Lynn-Ln-Lonoke-AR-72086/260453_zpid/,,105000
"101 Cedar Creek Loop, Cabot, AR 72023",101 Cedar Creek Loop,forRent,,3,1422,,1295,47,https://www.zillow.com/homedetails/101-Cedar-Creek-Loop-Cabot-AR-72023/88905306_zpid/,,
"11 Matthews Ln, Cabot, AR 72023",11 Matthews Ln,forRent,,3,1201,,1425,22,https://www.zillow.com/homedetails/11-Matthews-Ln-Cabot-AR-72023/255154_zpid/,,65323
"72 Branchwood Ln, Austin, AR 72007",72 Branchwood Ln,forRent,,3,1216,,1200,12,https://www.zillow.com/homedetails/72-Branchwood-Ln-Austin-AR-72007/252707_zpid/,,1710000
"400 Apricot St, Austin, AR 72007",400 Apricot St,forRent,,3,1200,,1475,15,https://www.zillow.com/homedetails/400-Apricot-St-Austin-AR-72007/82250818_zpid/,,280000
"621-623 Cosmos St, Maumelle, AR 72113",621-623 Cosmos St,other,,,,,,,https://www.zillow.com/b/621-623-cosmos-st-maumelle-ar-CpNTTZ/,,
"10413 Cypress Knee Dr, Maumelle, AR 72113",10413 Cypress Knee Dr,forRent,,3,1480,,1800,69,https://www.zillow.com/homedetails/10413-Cypress-Knee-Dr-Maumelle-AR-72113/2060938533_zpid/,,
"203 Logan Dr, Maumelle, AR 72113",203 Logan Dr,forRent,,3,1472,,1835,39,https://www.zillow.com/homedetails/203-Logan-Dr-Maumelle-AR-72113/2057186362_zpid/,,
"7 Southland Dr, Maumelle, AR 72113",7 Southland Dr,forRent,,2,925,,850,70,https://www.zillow.com/homedetails/7-Southland-Dr-Maumelle-AR-72113/2109744736_zpid/,,
"111 Miramar Dr, Maumelle, AR 72113",111 Miramar Dr,forRent,,3,2404,,2390,4,https://www.zillow.com/homedetails/111-Miramar-Dr-Maumelle-AR-72113/328081_zpid/,,240000
"61 Pin Oak Loop, Maumelle, AR 72113",61 Pin Oak Loop,forRent,,3,1173,,1495,67,https://www.zillow.com/homedetails/61-Pin-Oak-Loop-Maumelle-AR-72113/326810_zpid/,,175000
"124 Im Dr, Maumelle, AR 72113",124 Im Dr,forRent,,4,1500,,1950,64,https://www.zillow.com/homedetails/124-Im-Dr-Maumelle-AR-72113/2056969175_zpid/,,222925
"106 Jo Park Ln, Maumelle, AR 72113",106 Jo Park Ln,forRent,,4,1640,,2000,33,https://www.zillow.com/homedetails/106-Jo-Park-Ln-Maumelle-AR-72113/2056841941_zpid/,,
"11 Page Cv, Maumelle, AR 72113",11 Page Cv,forRent,,3,1294,,1695,6,https://www.zillow.com/homedetails/11-Page-Cv-Maumelle-AR-72113/326629_zpid/,,222125
"57 Stoneledge Dr, Maumelle, AR 72113",57 Stoneledge Dr,forRent,,4,1961,,1950,19,https://www.zillow.com/homedetails/57-Stoneledge-Dr-Maumelle-AR-72113/326028_zpid/,,145000
